#FIR coefficients for EISCAT 3D FSRU Delays
#
#April 20, 2017
#Computed using Equiripple Method
#
#Delay is in picoseconds
#Coefficients are signed, 18 bits, 3 integer bits.  Full scale = 32768.
#
#Delay Coef0 Coef1 Coef2 Coef3 Coef4 Coef5 Coef6 Coef7 Coef8 Coef9 
6840 343 -810 1676 -4048 30919 6395 -2626 1303 -692 309 
6860 347 -818 1693 -4085 30879 6481 -2658 1318 -700 312 
6880 350 -827 1709 -4121 30839 6567 -2689 1333 -708 316 
6900 354 -835 1725 -4157 30798 6652 -2720 1348 -716 319 
6920 357 -843 1742 -4193 30757 6738 -2751 1362 -724 322 
6940 361 -851 1758 -4229 30715 6824 -2783 1377 -731 326 
6960 364 -859 1774 -4264 30673 6911 -2814 1392 -739 329 
6980 368 -867 1790 -4299 30631 6997 -2845 1407 -747 333 
7000 371 -875 1806 -4333 30588 7084 -2876 1422 -754 336 
7020 375 -883 1822 -4368 30545 7170 -2907 1436 -762 339 
7040 378 -891 1837 -4402 30502 7257 -2938 1451 -769 343 
7060 381 -899 1853 -4435 30458 7344 -2968 1466 -777 346 
7080 385 -907 1868 -4469 30414 7431 -2999 1480 -785 349 
7100 388 -915 1883 -4502 30369 7518 -3030 1495 -792 352 
7120 392 -922 1899 -4534 30324 7605 -3060 1509 -799 356 
7140 395 -930 1914 -4567 30279 7693 -3091 1524 -807 359 
7160 398 -938 1929 -4599 30233 7780 -3122 1538 -814 362 
7180 401 -945 1944 -4631 30187 7868 -3152 1553 -822 366 
7200 405 -953 1958 -4662 30140 7956 -3182 1567 -829 369 
7220 408 -960 1973 -4694 30093 8044 -3213 1581 -836 372 
7240 411 -968 1988 -4725 30046 8132 -3243 1595 -844 375 
7260 414 -975 2002 -4755 29998 8220 -3273 1610 -851 378 
7280 418 -982 2016 -4785 29950 8308 -3303 1624 -858 381 
7300 421 -990 2031 -4815 29902 8396 -3333 1638 -865 385 
7320 424 -997 2045 -4845 29853 8485 -3363 1652 -873 388 
7340 427 -1004 2059 -4875 29804 8573 -3393 1666 -880 391 
7360 430 -1011 2072 -4904 29754 8662 -3423 1680 -887 394 
7380 433 -1018 2086 -4932 29704 8751 -3452 1693 -894 397 
7400 436 -1025 2100 -4961 29654 8839 -3482 1707 -901 400 
7420 439 -1032 2113 -4989 29604 8928 -3511 1721 -908 403 
7440 442 -1039 2127 -5017 29553 9017 -3541 1735 -915 406 
7460 445 -1046 2140 -5044 29501 9106 -3570 1748 -922 409 
7480 448 -1053 2153 -5072 29449 9196 -3600 1762 -929 412 
7500 451 -1059 2166 -5099 29397 9285 -3629 1775 -936 415 
7520 454 -1066 2179 -5125 29345 9374 -3658 1789 -943 418 
7540 457 -1073 2192 -5151 29292 9464 -3687 1802 -950 421 
7560 460 -1079 2205 -5177 29239 9553 -3716 1816 -956 424 
7580 463 -1086 2217 -5203 29185 9643 -3745 1829 -963 427 
7600 466 -1092 2230 -5229 29131 9733 -3773 1842 -970 430 
7620 469 -1099 2242 -5254 29077 9823 -3802 1855 -976 433 
7640 471 -1105 2254 -5278 29023 9913 -3830 1868 -983 436 
